a,b,c
82.000000,50.000000,1
81.000000,64.000000,1
97.000000,67.000000,1
82.000000,64.000000,1
94.000000,69.000000,1
83.000000,55.000000,1
82.000000,48.000000,1
77.000000,55.000000,1
87.000000,67.000000,1
84.000000,57.000000,1
87.000000,69.000000,1
92.000000,64.000000,1
87.000000,47.000000,1
95.000000,54.000000,1
87.000000,55.000000,1
96.000000,59.000000,1
93.000000,61.000000,1
99.000000,54.000000,1
83.000000,58.000000,1
89.000000,63.000000,1
88.000000,67.000000,1
97.000000,67.000000,1
89.000000,56.000000,1
83.000000,54.000000,1
83.000000,49.000000,1
85.000000,54.000000,1
80.000000,67.000000,1
95.000000,69.000000,1
95.000000,53.000000,1
80.000000,64.000000,1
89.000000,56.000000,1
94.000000,68.000000,1
91.000000,54.000000,1
93.000000,63.000000,1
99.000000,65.000000,1
99.000000,46.000000,1
86.000000,49.000000,1
81.000000,57.000000,1
88.000000,65.000000,1
86.000000,55.000000,1
88.000000,50.000000,1
92.000000,46.000000,1
85.000000,47.000000,1
82.000000,66.000000,1
96.000000,62.000000,1
87.000000,54.000000,1
98.000000,70.000000,1
95.000000,65.000000,1
75.000000,54.000000,1
88.000000,55.000000,1
84.000000,61.000000,1
99.000000,56.000000,1
78.000000,68.000000,1
89.000000,69.000000,1
95.000000,64.000000,1
97.000000,56.000000,1
77.000000,52.000000,1
87.000000,56.000000,1
82.000000,59.000000,1
83.000000,65.000000,1
93.000000,61.000000,1
82.000000,54.000000,1
82.000000,57.000000,1
92.000000,58.000000,1
84.000000,58.000000,1
93.000000,58.000000,1
95.000000,60.000000,1
83.000000,52.000000,1
97.000000,58.000000,1
88.000000,62.000000,1
89.000000,63.000000,1
92.000000,48.000000,1
95.000000,67.000000,1
78.000000,52.000000,1
84.000000,61.000000,1
97.000000,58.000000,1
85.000000,67.000000,1
99.000000,55.000000,1
74.000000,55.000000,1
89.000000,53.000000,1
99.000000,54.000000,1
77.000000,64.000000,1
88.000000,50.000000,1
80.000000,57.000000,1
77.000000,64.000000,1
95.000000,65.000000,1
99.000000,65.000000,1
85.000000,55.000000,1
75.000000,59.000000,1
87.000000,67.000000,1
91.000000,54.000000,1
96.000000,51.000000,1
93.000000,68.000000,1
82.000000,52.000000,1
83.000000,67.000000,1
96.000000,52.000000,1
85.000000,61.000000,1
92.000000,63.000000,1
99.000000,68.000000,1
86.000000,56.000000,1
98.000000,65.000000,1
75.000000,59.000000,1
98.000000,48.000000,1
95.000000,58.000000,1
83.000000,66.000000,1
95.000000,49.000000,1
80.000000,59.000000,1
80.000000,59.000000,1
81.000000,48.000000,1
82.000000,55.000000,1
98.000000,70.000000,1
84.000000,60.000000,1
82.000000,52.000000,1
79.000000,52.000000,1
96.000000,65.000000,1
85.000000,68.000000,1
79.000000,53.000000,1
95.000000,69.000000,1
91.000000,50.000000,1
90.000000,69.000000,1
87.000000,68.000000,1
77.000000,56.000000,1
87.000000,52.000000,1
83.000000,67.000000,1
98.000000,53.000000,1
77.000000,51.000000,1
88.000000,50.000000,1
89.000000,55.000000,1
87.000000,51.000000,1
89.000000,51.000000,1
95.000000,62.000000,1
83.000000,61.000000,1
99.000000,50.000000,1
77.000000,66.000000,1
89.000000,56.000000,1
88.000000,52.000000,1
86.000000,49.000000,1
83.000000,57.000000,1
82.000000,56.000000,1
92.000000,57.000000,1
78.000000,54.000000,1
82.000000,67.000000,1
86.000000,61.000000,1
89.000000,51.000000,1
87.000000,63.000000,1
91.000000,60.000000,1
97.000000,66.000000,1
96.000000,63.000000,1
83.000000,58.000000,1
82.000000,56.000000,1
84.000000,56.000000,1
78.000000,59.000000,1
86.000000,56.000000,1
86.000000,62.000000,1
92.000000,62.000000,1
86.000000,61.000000,1
77.000000,56.000000,1
82.000000,59.000000,1
88.000000,63.000000,1
81.000000,62.000000,1
98.000000,58.000000,1
96.000000,70.000000,1
90.000000,59.000000,1
86.000000,65.000000,1
91.000000,53.000000,1
81.000000,48.000000,1
76.000000,61.000000,1
94.000000,49.000000,1
96.000000,59.000000,1
94.000000,64.000000,1
83.000000,54.000000,1
77.000000,62.000000,1
88.000000,49.000000,1
94.000000,49.000000,1
98.000000,65.000000,1
79.000000,58.000000,1
84.000000,65.000000,1
89.000000,53.000000,1
84.000000,65.000000,1
77.000000,63.000000,1
86.000000,49.000000,1
99.000000,53.000000,1
87.000000,49.000000,1
77.000000,63.000000,1
81.000000,67.000000,1
84.000000,51.000000,1
95.000000,56.000000,1
86.000000,55.000000,1
90.000000,56.000000,1
96.000000,52.000000,1
82.000000,61.000000,1
77.000000,59.000000,1
96.000000,63.000000,1
92.000000,68.000000,1
85.000000,61.000000,1
